                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3028,                   1.88,                 1.4307,                0.87234,                0.75919,                0.84976,                0.58155,                 1.1534,                0.87499,                 1.2684,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.1341,                 1.1595,                  1.284,                0.87701,                0.77676,                0.86673,                0.58306,                 1.2051,                0.88774,                 1.3103,              0.0066218,              0.0066218,              0.0066218
                      3,                  1.201,                 1.2548,                 1.3455,                0.88325,                 0.7783,                0.86667,                0.59403,                 1.1785,                0.86082,                 1.3213,              0.0098671,              0.0098671,              0.0098671
                      4,                   1.19,                 1.2226,                 1.3475,                0.90119,                 0.8168,                0.89676,                0.62738,                 1.1185,                 0.7469,                 1.2895,               0.009802,               0.009802,               0.009802
                      5,                 1.0953,                 1.0489,                 1.2824,                0.91715,                0.85166,                0.91965,                0.65654,                 1.0748,                0.66511,                 1.2548,               0.009736,               0.009736,               0.009736
                      6,                 1.0382,                0.95648,                 1.2443,                 0.9294,                0.87321,                0.93186,                0.67237,                  1.063,                0.62842,                 1.2204,                0.00967,                0.00967,                0.00967
                      7,                0.99704,                0.88513,                 1.2157,                0.94387,                0.88656,                0.94252,                0.71313,                0.94638,                0.54386,                 1.1685,               0.009604,               0.009604,               0.009604
                      8,                 0.9698,                0.84322,                 1.1985,                0.94386,                0.89602,                0.94829,                0.74316,                0.84294,                0.50908,                 1.1122,               0.009538,               0.009538,               0.009538
                      9,                0.94601,                0.81186,                  1.182,                0.95529,                0.89606,                0.95374,                0.74246,                 0.8641,                0.49131,                 1.1183,               0.009472,               0.009472,               0.009472
                     10,                0.93234,                0.78678,                 1.1724,                0.95399,                0.90982,                0.95609,                0.76249,                0.79514,                0.46999,                 1.0888,               0.009406,               0.009406,               0.009406
                     11,                0.91294,                0.76307,                 1.1589,                0.95768,                0.91166,                0.95886,                0.75444,                0.83355,                0.46436,                 1.0953,                0.00934,                0.00934,                0.00934
                     12,                 0.9043,                 0.7464,                 1.1529,                0.95958,                0.91421,                0.95993,                0.75164,                 0.8524,                0.46063,                 1.1014,               0.009274,               0.009274,               0.009274
                     13,                 0.8927,                0.73107,                 1.1452,                0.95485,                0.91838,                0.95999,                0.74655,                0.86884,                0.45801,                 1.1078,               0.009208,               0.009208,               0.009208
                     14,                0.88147,                0.71524,                 1.1347,                0.95142,                0.92388,                0.96072,                0.76582,                0.80216,                0.43945,                 1.0769,               0.009142,               0.009142,               0.009142
                     15,                0.87342,                0.70214,                 1.1299,                0.95573,                0.92401,                0.96224,                0.77245,                0.78973,                0.43137,                 1.0681,               0.009076,               0.009076,               0.009076
                     16,                0.87011,                0.69678,                 1.1281,                0.95768,                0.92716,                0.96338,                0.77705,                 0.7806,                0.42545,                 1.0621,                0.00901,                0.00901,                0.00901
                     17,                0.86093,                 0.6848,                 1.1241,                0.95632,                0.92844,                 0.9638,                0.78247,                0.76063,                0.41906,                 1.0536,               0.008944,               0.008944,               0.008944
                     18,                0.85568,                0.67712,                 1.1211,                0.95767,                0.92993,                0.96478,                0.78852,                0.74518,                0.41266,                 1.0464,               0.008878,               0.008878,               0.008878
                     19,                0.85081,                0.67407,                 1.1145,                0.95967,                0.92868,                0.96514,                0.78896,                0.74649,                0.40986,                 1.0457,               0.008812,               0.008812,               0.008812
                     20,                0.84449,                0.66174,                 1.1106,                0.95769,                0.93266,                0.96571,                0.78746,                0.75226,                0.40914,                 1.0473,               0.008746,               0.008746,               0.008746
