                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63973,                0.41549,                0.99593,                0.96605,                0.95101,                0.97435,                 0.8533,                0.59094,                0.33911,                0.96161,              0.0033324,              0.0033324,              0.0033324
                      2,                0.66125,                0.44036,                 1.0033,                0.96423,                0.93476,                0.96685,                0.80341,                0.72538,                0.41341,                 1.0082,              0.0065338,              0.0065338,              0.0065338
                      3,                0.73473,                0.52649,                 1.0422,                0.95845,                0.91806,                0.96077,                0.78596,                0.73558,                0.45834,                 1.0307,              0.0096031,              0.0096031,              0.0096031
                      4,                0.79872,                0.61276,                 1.0838,                 0.9517,                 0.9242,                0.96091,                0.77027,                0.78937,                0.45797,                 1.0551,               0.009406,               0.009406,               0.009406
                      5,                0.80316,                0.62084,                 1.0858,                 0.9523,                 0.9232,                0.96321,                0.80182,                0.69914,                0.43002,                 1.0172,               0.009208,               0.009208,               0.009208
                      6,                0.80495,                0.61866,                 1.0872,                0.95525,                0.92519,                0.96532,                0.80623,                 0.6905,                0.41485,                 1.0178,                0.00901,                0.00901,                0.00901
                      7,                0.80128,                0.61334,                 1.0846,                0.96096,                0.92636,                0.96699,                0.81288,                0.68406,                0.40336,                 1.0166,               0.008812,               0.008812,               0.008812
                      8,                0.79407,                0.60307,                 1.0801,                0.95679,                0.93198,                0.96815,                0.81116,                0.69699,                0.40231,                 1.0133,               0.008614,               0.008614,               0.008614
                      9,                0.79004,                 0.5972,                 1.0768,                 0.9648,                 0.9344,                0.96983,                 0.8185,                 0.6745,                0.38405,                0.99562,               0.008416,               0.008416,               0.008416
                     10,                0.78499,                0.59252,                 1.0715,                0.96342,                0.93593,                0.97105,                0.78027,                0.80478,                  0.402,                  1.051,               0.008218,               0.008218,               0.008218
                     11,                0.77651,                0.58496,                 1.0674,                0.96497,                 0.9412,                0.97183,                0.80464,                0.73332,                0.37996,                 1.0195,                0.00802,                0.00802,                0.00802
                     12,                  0.775,                0.58152,                 1.0674,                0.96372,                0.94466,                0.97371,                0.81526,                0.69694,                0.36665,                 1.0008,               0.007822,               0.007822,               0.007822
                     13,                0.76931,                0.57316,                 1.0653,                 0.9666,                0.94563,                0.97385,                0.81231,                0.70558,                0.36578,                 1.0075,               0.007624,               0.007624,               0.007624
                     14,                0.76625,                0.56908,                 1.0635,                0.96713,                0.94805,                0.97427,                0.82241,                 0.6768,                0.35632,                0.99665,               0.007426,               0.007426,               0.007426
                     15,                0.76031,                  0.564,                 1.0612,                0.96649,                0.94947,                0.97459,                0.82906,                0.65779,                0.35006,                0.98838,               0.007228,               0.007228,               0.007228
                     16,                0.75727,                0.55793,                 1.0587,                0.96601,                0.94964,                 0.9747,                0.82243,                0.68032,                0.35404,                0.99714,                0.00703,                0.00703,                0.00703
                     17,                0.75395,                 0.5539,                 1.0534,                0.96878,                0.94748,                 0.9746,                0.82351,                0.67594,                0.35114,                0.99395,               0.006832,               0.006832,               0.006832
                     18,                0.74805,                0.54708,                 1.0512,                0.97049,                0.94752,                 0.9746,                0.81782,                0.69662,                0.35319,                 1.0007,               0.006634,               0.006634,               0.006634
                     19,                0.74534,                0.54547,                 1.0479,                0.97002,                0.94853,                0.97509,                0.81766,                0.69948,                0.35248,                 1.0006,               0.006436,               0.006436,               0.006436
                     20,                0.74005,                0.53769,                 1.0467,                0.96915,                0.94885,                0.97485,                0.81607,                 0.7029,                0.35277,                 1.0018,               0.006238,               0.006238,               0.006238
                     21,                 0.7326,                0.53044,                  1.042,                0.96944,                0.94792,                0.97485,                0.81968,                0.69421,                0.35011,                0.99759,                0.00604,                0.00604,                0.00604
                     22,                0.72729,                0.52476,                 1.0402,                0.96797,                0.94842,                0.97494,                0.82062,                 0.6932,                0.34908,                0.99692,               0.005842,               0.005842,               0.005842
                     23,                0.72352,                0.51737,                 1.0372,                0.97325,                0.94455,                0.97502,                0.82106,                 0.6915,                0.34769,                0.99631,               0.005644,               0.005644,               0.005644
                     24,                0.72041,                0.51483,                 1.0362,                0.97269,                0.94493,                0.97518,                0.82259,                0.68643,                0.34563,                0.99427,               0.005446,               0.005446,               0.005446
